"","form","nvars","sing","loglik","mfR2","accuracy","AIC","BIC","xtime"
"1","nxt ~ currentd | 1","1","FALSE","-2319.38796448222","0.209837105423555","0.379651436646255","4646.77592896444","4669.41827081125","0.317"
"2","nxt ~ tord | 1","1","FALSE","-2935.32654085689","7.96948033232603e-07","0.277437588318417","5878.65308171378","5901.29542356059","0.126"
"3","nxt ~ pct | 1","1","FALSE","-2934.62627241436","0.000239362529991238","0.277908619877532","5877.25254482871","5899.89488667552","0.113"
"4","nxt ~ pcr | 1","1","FALSE","-2925.86868997145","0.00322287231729046","0.295336787564767","5859.7373799429","5882.37972178972","0.097"
"5","nxt ~ pc | 1","1","FALSE","-2918.69818458557","0.00566570093330931","0.301931229392369","5845.39636917113","5868.03871101795","1.058"
"6","nxt ~ pval | 1","1","FALSE","-2821.9563547001","0.0386234490545837","0.371172868582195","5651.91270940021","5674.55505124702","0.079"
"7","nxt ~ relt | 1","1","FALSE","-2757.66161946296","0.0605272076663298","0.390014130946773","5523.32323892592","5545.96558077273","0.089"
"8","nxt ~ scsq | 1","1","FALSE","-2929.40463897688","0.00201825465780914","0.283560998586905","5866.80927795376","5889.45161980057","0.08"
"9","nxt ~ currentd + tord | 1","2","FALSE","-2319.32933608569","0.209857078789036","0.379651436646255","4648.65867217138","4676.96159947989","0.183"
"10","nxt ~ currentd + pct | 1","2","FALSE","-2318.07595630765","0.210284076862919","0.385774846914743","4646.15191261529","4674.45483992381","0.253"
"11","nxt ~ currentd + pcr | 1","2","FALSE","-2309.20491661575","0.21330623896266","0.397550635892605","4628.40983323149","4656.71276054001","0.355"
"12","nxt ~ currentd + pc | 1","2","FALSE","-2309.51115175577","0.213201911593385","0.404145077720207","4629.02230351154","4657.32523082006","0.116"
"13","nxt ~ currentd + pval | 1","2","FALSE","-2274.31650773602","0.225191928881607","0.437588318417334","4558.63301547204","4586.93594278055","0.119"
"14","nxt ~ currentd + relt | 1","2","FALSE","-2287.92304270623","0.220556490903202","0.403674046161093","4585.84608541246","4614.14901272097","0.126"
"15","nxt ~ currentd + scsq | 1","2","FALSE","-2314.90935398636","0.211362866480903","0.376825247291569","4639.81870797272","4668.12163528124","0.34"
"16","nxt ~ tord + pct | 1","2","FALSE","-2934.61132173695","0.000244455886823314","0.277437588318417","5879.2226434739","5907.52557078242","0.054"
"17","nxt ~ tord + pcr | 1","2","FALSE","-2925.86820375864","0.00322303795897183","0.295336787564767","5861.73640751728","5890.0393348258","0.06"
