,N1,N2,Value
0,C1,A2,15
1,B1,A2,14
2,A1,C2,13
3,C1,B2,13
4,A1,A2,12
5,D1,A2,12
6,B1,C2,11
7,B1,D2,10
8,B1,B2,9
9,A1,D2,9
10,D1,C2,8
11,A1,B2,8
12,D1,B2,7
13,C1,C2,6
14,D1,D2,5
15,C1,D2,2
16,A2,C3,21
17,A2,B3,20
18,B2,D3,17
19,C2,A3,16
20,C2,B3,13
21,B2,A3,13
22,A2,D3,12
23,D2,C3,11
24,C2,D3,9
25,D2,A3,8
26,D2,B3,7
27,B2,C3,7
28,C3,D4,18
29,D3,C4,17
30,C3,B4,16
31,B3,D4,15
32,B3,C4,14
33,D3,A4,13
34,A3,D4,12
35,A3,B4,12
36,B3,A4,10
37,A3,C4,10
38,D3,B4,8
39,C3,A4,3
40,C4,D5,20
41,D4,B5,16
42,B4,D5,14
43,D4,C5,13
44,B4,C5,13
45,D4,A5,13
46,C4,A5,12
47,C4,B5,9
48,B4,A5,9
49,A4,D5,8
50,A4,C5,8
51,A4,B5,6
