"","sid","grp","trial","blkt","current","nxt","tord:1","tord:2","tord:3","tord:4","pct:1","pct:2","pct:3","pct:4","pc:1","pc:2","pc:3","pc:4","pcr:1","pcr:2","pcr:3","pcr:4","pval:1","pval:2","pval:3","pval:4","relt:1","relt:2","relt:3","relt:4","sc:1","sc:2","sc:3","sc:4","scsq:1","scsq:2","scsq:3","scsq:4","currentd:1","currentd:2","currentd:3","currentd:4","lrn:1","lrn:2","lrn:3","lrn:4","int:1","int:2","int:3","int:4","comp:1","comp:2","comp:3","comp:4","time:1","time:2","time:3","time:4","prog:1","prog:2","prog:3","prog:4","rule:1","rule:2","rule:3","rule:4","lrn2:1","lrn2:2","lrn2:3","lrn2:4"
"34",0,0,93,33,"4","3",4,3,1,2,0.933333333333333,0.733333333333333,0.2,0.8,0.933333333333333,0.733333333333333,0.2,0.604166666666667,1,0.8,0,0.8,0.000457763671875,0.041656494140625,0.013885498046875,0.0410048809004593,0.161290322580645,0.161290322580645,0.172043010752688,0.505376344086022,-0.2,0,0.533333333333333,0.129166666666667,0.04,0,0.284444444444444,0.0166840277777778,0,0,0,1,0,0.6,1,0.6,0,0.166666666666667,1,0.333333333333333,0,0.25,0.75,1,0,0.285714285714286,1,0.428571428571429,0,0.625,1,0.375,1,1,0.75,0,0,0.2,0.4,1
"102",0,0,161,68,"3","2",4,3,1,2,0.933333333333333,0.733333333333333,0.2,0.8,0.933333333333333,0.733333333333333,0.662650602409639,0.604166666666667,1,0.8,0.8,0.8,0.000457763671875,0.041656494140625,0.00105388570222218,0.0410048809004593,0.093167701863354,0.0993788819875776,0.515527950310559,0.291925465838509,-0.2,0,0.0706827309236947,0.129166666666667,0.04,0,0.00499604845083143,0.0166840277777778,0,0,1,0,0,0.6,1,0.6,0,0.166666666666667,1,0.333333333333333,0,0.25,0.75,1,0,0.285714285714286,1,0.428571428571429,0,0.625,1,0.375,1,1,0.75,0,0,0.2,0.4,1
"118",0,0,177,16,"2","4",4,3,1,2,0.933333333333333,0.733333333333333,0.2,0.8,0.933333333333333,0.806451612903226,0.662650602409639,0.604166666666667,1,1,0.8,0.8,0.000457763671875,0.00034285755828023,0.00105388570222218,0.0410048809004593,0.0847457627118644,0.175141242937853,0.468926553672316,0.271186440677966,-0.329166666666667,-0.202284946236559,-0.0584839357429719,0,0.108350694444444,0.0409191994739276,0.00342037073998807,0,0,1,0,0,0,0.6,1,0.6,0,0.166666666666667,1,0.333333333333333,0,0.25,0.75,1,0,0.285714285714286,1,0.428571428571429,0,0.625,1,0.375,1,1,0.75,0,0,0.2,0.4,1
"141",0,0,200,23,"4","3",4,3,1,2,0.933333333333333,0.733333333333333,0.2,0.8,0.933333333333333,0.806451612903226,0.662650602409639,0.535211267605634,1,1,0.8,0.2,0.000457763671875,0.00034285755828023,0.00105388570222218,0.0793099243266954,0.075,0.155,0.42,0.35,-0.3981220657277,-0.271240345297592,-0.127439334804005,0,0.158501179219291,0.0735713249171569,0.0162407840552872,0,0,0,0,1,0,0.6,1,0.6,0,0.166666666666667,1,0.333333333333333,0,0.25,0.75,1,0,0.285714285714286,1,0.428571428571429,0,0.625,1,0.375,1,1,0.75,0,0,0.2,0.4,1
"252",1,0,61,1,"3","1",1,2,4,3,0.666666666666667,0.733333333333333,0.733333333333333,0.666666666666667,0.666666666666667,0.733333333333333,0.6875,0.666666666666667,1,1,0,0.8,0.091644287109375,0.041656494140625,0.066650390625,0.091644287109375,0.262295081967213,0.245901639344262,0.245901639344262,0.245901639344262,0.0666666666666667,0,0.0458333333333333,0.0666666666666667,0.00444444444444444,0,0.00210069444444444,0.00444444444444444,0,0,1,0,1,1,1,1,1,1,0.444444444444444,0,0,0,0.777777777777778,1,1,0.888888888888889,0.333333333333333,0,1,1,0.555555555555556,0,0,0,0.5,1,0,0,1,1
"276",1,0,85,24,"1","2",1,2,4,3,0.666666666666667,0.733333333333333,0.733333333333333,0.666666666666667,0.846153846153846,0.733333333333333,0.6875,0.666666666666667,1,1,0,0.8,5.93467666476499e-06,0.041656494140625,0.066650390625,0.091644287109375,0.458823529411765,0.188235294117647,0.176470588235294,0.176470588235294,-0.112820512820513,0,0.0458333333333333,0.0666666666666667,0.0127284681130835,0,0.00210069444444444,0.00444444444444444,1,0,0,0,1,1,1,1,1,1,0.444444444444444,0,0,0,0.777777777777778,1,1,0.888888888888889,0.333333333333333,0,1,1,0.555555555555556,0,0,0,0.5,1,0,0,1,1
"289",1,0,98,13,"2","4",1,2,4,3,0.666666666666667,0.733333333333333,0.733333333333333,0.666666666666667,0.846153846153846,0.785714285714286,0.6875,0.666666666666667,1,0.8,0,0.8,5.93467666476499e-06,0.00140346586704254,0.066650390625,0.091644287109375,0.397959183673469,0.285714285714286,0.153061224489796,0.163265306122449,-0.158653846153846,-0.0982142857142857,0,0.0208333333333334,0.0251710428994083,0.00964604591836734,0,0.000434027777777779,0,1,0,0,1,1,1,1,1,1,0.444444444444444,0,0,0,0.777777777777778,1,1,0.888888888888889,0.333333333333333,0,1,1,0.555555555555556,0,0,0,0.5,1,0,0,1,1
"302",1,0,111,13,"4","1",1,2,4,3,0.666666666666667,0.733333333333333,0.733333333333333,0.666666666666667,0.846153846153846,0.785714285714286,0.6875,0.5,1,0.8,0,0.4,5.93467666476499e-06,0.00140346586704254,0.066650390625,0.149445980787277,0.36036036036036,0.252252252252252,0.135135135135135,0.252252252252252,-0.158653846153846,-0.0982142857142857,0,0.1875,0.0251710428994083,0.00964604591836734,0,0.03515625,0,0,0,1,1,1,1,1,1,1,0.444444444444444,0,0,0,0.777777777777778,1,1,0.888888888888889,0.333333333333333,0,1,1,0.555555555555556,0,0,0,0.5,1,0,0,1,1
"319",1,0,128,17,"1","3",1,2,4,3,0.666666666666667,0.733333333333333,0.733333333333333,0.666666666666667,0.892857142857143,0.785714285714286,0.6875,0.5,1,0.8,0,0.4,4.50590065259604e-10,0.00140346586704254,0.066650390625,0.149445980787277,0.4375,0.21875,0.125,0.21875,-0.205357142857143,-0.0982142857142857,0,0.1875,0.042171556122449,0.00964604591836734,0,0.03515625,1,0,0,0,1,1,1,1,1,1,0.444444444444444,0,0,0,0.777777777777778,1,1,0.888888888888889,0.333333333333333,0,1,1,0.555555555555556,0,0,0,0.5,1,0,0,1,1
"340",1,0,149,21,"3","1",1,2,4,3,0.666666666666667,0.733333333333333,0.733333333333333,0.666666666666667,0.892857142857143,0.785714285714286,0.594594594594595,0.5,1,0.8,0.4,0.4,4.50590065259604e-10,0.00140346586704254,0.0681335205445066,0.149445980787277,0.38255033557047,0.187919463087248,0.241610738255034,0.187919463087248,-0.298262548262548,-0.191119691119691,0,0.0945945945945946,0.0889605476960689,0.0365267363336861,0,0.00894813732651571,0,0,1,0,1,1,1,1,1,1,0.444444444444444,0,0,0,0.777777777777778,1,1,0.888888888888889,0.333333333333333,0,1,1,0.555555555555556,0,0,0,0.5,1,0,0,1,1
