sid,grp,ntm,good,post,pre,lapt,sc_grand,sc_sw,sc_lep,sc_blk,ei,ri
0,0,3,False,0.9666666666666667,0.5,0.6222222222222221,-0.21392235609103089,-0.03333333333333337,-0.13309066481936305,-0.07439507613974987,0.46,0.48695652173913045
1,0,3,True,0.7888888888888889,0.7222222222222221,0.7111111111111111,0.015733333333333335,-0.02222222222222223,-0.005347985347985362,-0.030119465305739796,0.5,0.4
2,0,1,True,0.4888888888888889,0.4888888888888889,0.5333333333333333,-0.14186666666666667,0.0,-0.011241523213353921,-0.04720557743156595,0.54,0.7333333333333333
3,0,3,True,0.9555555555555555,0.8666666666666667,0.8666666666666667,-0.14986666666666668,-0.25128205128205133,-0.2739247311827956,-0.20389413176895005,0.412,0.9902912621359223
4,0,2,False,0.7333333333333333,0.5888888888888888,0.6,-0.12053333333333335,-3.172065784643304e-17,-0.09737344630830273,-0.05928703219200418,0.308,0.5194805194805194
5,0,2,False,0.7111111111111111,0.6333333333333333,0.6444444444444444,-0.0522666666666667,0.07999999999999999,-0.044332868433286904,0.022596677559912848,0.512,0.3125
6,0,3,False,0.9333333333333333,0.7,0.7111111111111111,-0.14538152610441768,0.0,-0.16756246677299313,-0.1919178016034,0.572,0.5454545454545454
7,0,1,True,0.7888888888888889,0.6666666666666666,0.7111111111111111,0.022133333333333297,-0.10000000000000003,0.021954484605086894,-0.03138536314666522,0.796,0.24623115577889448
8,0,2,False,0.6888888888888889,0.6333333333333333,0.6444444444444444,0.07546666666666663,0.0222222222222222,-0.0701608848667673,0.01611308159007989,0.588,0.8435374149659864
9,0,2,False,0.7777777777777777,0.6444444444444444,0.6666666666666666,0.1469879518072289,0.17142857142857146,0.1119936296765565,0.1621892770623486,0.768,0.4010416666666667
10,0,1,True,0.6555555555555554,0.5222222222222221,0.5777777777777778,0.11866666666666663,0.059259259259259234,0.13663294070270798,0.09509275885719005,0.932,0.36909871244635195
11,0,3,False,0.9444444444444444,0.711111111111111,0.7333333333333334,-0.014844804318488542,-0.06666666666666668,-0.02202778363436181,-0.07542328042328043,0.844,0.9146919431279621
12,0,2,False,0.7666666666666666,0.6,0.6,0.05946666666666664,0.04999999999999997,0.013735219068025549,0.04145914823125752,0.64,0.3375
13,0,1,True,0.5777777777777777,0.4555555555555555,0.5111111111111112,-0.16144578313253014,0.10370370370370367,-0.07305555555555548,0.04641884335809568,0.332,0.03614457831325301
14,0,1,True,0.42222222222222217,0.4222222222222222,0.4222222222222222,-0.21847389558232935,-0.13333333333333333,-0.13938572719060527,-0.12978584168337487,0.42,0.4095238095238095
15,0,3,True,0.7,0.47777777777777775,0.4666666666666666,0.026133333333333324,0.11111111111111109,0.03622171922476798,0.03723063638248902,0.84,0.5285714285714286
16,0,2,False,0.6777777777777778,0.7777777777777777,0.7777777777777778,-0.21526104417670686,-0.2,-0.16405228758169957,-0.16988547103327523,0.36,0.6111111111111112
17,0,2,False,0.6888888888888889,0.5444444444444444,0.5777777777777777,-0.13734939759036147,-0.06666666666666668,-0.1383223800438132,-0.10124590537381237,0.404,0.7326732673267327
18,0,2,False,0.7777777777777777,0.6555555555555554,0.6444444444444445,-0.3437751004016064,-0.15555555555555559,-0.271086447157479,-0.2729621035618587,0.088,0.09090909090909091
19,0,3,False,0.9,0.6888888888888889,0.7333333333333334,-0.09129852744310576,0.08888888888888886,-0.04519516053182839,0.018112528467962526,0.232,0.1724137931034483
20,0,3,False,0.8777777777777778,0.6555555555555554,0.6888888888888888,0.03573333333333336,-0.06666666666666664,-0.019827135451881864,-0.02788837918420184,0.572,0.6363636363636364
21,0,0,True,0.4111111111111111,0.5555555555555555,0.6222222222222221,0.13253012048192772,0.10000000000000002,0.13279569892473103,0.16534979837583638,1.0,0.348
22,0,1,True,0.39999999999999997,0.5333333333333333,0.6444444444444445,0.10414993306559571,0.06666666666666665,0.10349462365591373,0.10081531426799968,0.768,0.46875
23,0,1,False,0.6,0.43333333333333335,0.4444444444444445,-0.1930388219544846,0.1333333333333333,-0.13165451165451175,0.020726026872136906,0.42,0.29523809523809524
24,0,2,False,0.7222222222222221,0.7444444444444445,0.7555555555555555,-0.11146666666666671,0.00952380952380949,-0.08966514459665145,-0.021488742867072533,0.056,0.35714285714285715
25,0,2,False,0.8,0.6777777777777778,0.7111111111111111,-0.07466666666666671,-0.022222222222222254,-0.07025856044723983,-0.03498979591836736,0.432,0.4537037037037037
26,0,1,True,0.7555555555555555,0.7888888888888889,0.8000000000000002,0.013600000000000041,0.050000000000000044,0.01231593038821966,0.05554919465463079,0.38,0.8736842105263158
27,0,1,True,0.6111111111111112,0.7444444444444445,0.7555555555555555,0.12931726907630522,0.12000000000000008,0.056373865234624634,0.1743371255655287,0.768,0.171875
28,0,2,False,0.8666666666666667,0.6111111111111112,0.6444444444444444,0.017938420348058887,-0.042424242424242455,-0.014342111067001923,-0.04393777064709745,0.868,0.543778801843318
29,0,2,False,0.7333333333333334,0.7333333333333334,0.7555555555555555,0.20986666666666662,0.1333333333333333,0.09620886981402005,0.12394781144781145,0.932,0.9313304721030042
30,0,2,False,0.7666666666666666,0.7555555555555555,0.7777777777777778,-0.08453333333333334,0.02666666666666666,-0.06364166123070236,-0.017417352981078518,0.404,0.44554455445544555
31,0,2,False,0.7444444444444445,0.5333333333333333,0.6000000000000001,-0.156,-0.1777777777777778,-0.09421426457531815,-0.11255091510288324,0.424,0.18867924528301888
32,0,3,True,0.8444444444444443,0.6444444444444444,0.6666666666666666,-0.04069611780455155,0.022222222222222223,-0.011413915624441957,0.0029994111737176973,0.464,0.45689655172413796
33,0,3,False,0.8,0.6888888888888889,0.7111111111111111,0.06479250334672026,0.009523809523809554,0.05901901217690697,-0.009351274992755693,0.604,0.8013245033112583
