# sid,grp,cnd,r
0,0,0,-0.87030051
1,0,0,0.00000000
2,0,0,-0.57659998
3,0,1,-0.59131240
4,0,0,-0.87038828
5,0,0,0.94426737
6,0,0,-0.95028164
7,0,1,-0.54433105
8,0,1,-0.92717265
9,0,1,0.68629460
10,0,0,0.00000000
11,0,0,-0.96684593
12,0,1,-0.90453403
13,0,1,-0.81170770
14,0,0,0.00000000
15,0,1,0.00000000
16,0,1,-0.87831007
17,0,1,-0.85498196
18,0,1,0.53665631
19,0,0,-0.80064077
20,0,0,-0.86266219
21,0,1,-0.90142131
22,0,0,-0.64465837
23,0,1,0.00000000
24,0,0,0.25819889
25,0,1,0.00000000
26,0,1,-0.95058638
27,0,0,1.00000000
28,0,0,0.00000000
29,0,1,-0.88948596
30,0,0,-0.98019606
31,0,0,-0.86464308
32,0,1,-0.95374764
33,0,0,-0.98853830
34,0,0,-0.77459667
35,0,1,-0.92885582
36,0,0,0.00000000
37,0,1,0.55017206
38,0,1,0.00000000
39,0,1,-0.93704257
40,0,0,0.00000000
41,0,1,-0.98640366
42,0,1,0.00000000
43,0,0,-0.98500451
44,0,1,-0.09140375
45,0,1,0.00000000
46,0,1,0.00000000
47,0,0,-0.95694875
48,0,0,-0.90621689
49,0,0,0.99705449
50,0,1,-0.63245553
51,0,1,-0.67936622
52,0,0,0.88506301
53,0,1,0.91465912
54,0,0,-0.96490128
55,0,1,-0.85176245
56,0,1,-0.86360086
57,0,1,-0.90453403
58,0,0,0.00000000
59,0,0,-0.93658581
60,0,0,0.84852814
61,0,0,-0.68970073
62,0,0,0.48943480
63,0,1,-0.95800208
64,0,1,-0.90453403
65,0,1,-0.77958446
66,0,0,-0.99932881
67,0,0,0.00000000
68,0,1,-0.91490955
69,0,0,-0.14064217
70,0,0,-0.90453403
71,0,1,0.00000000
72,0,0,-0.58639547
73,0,1,-0.69709668
74,0,1,0.77459667
75,0,1,-0.61721340
76,0,0,0.98198051
77,0,1,-0.83721836
78,0,0,0.63661274
79,0,1,-0.48507125
80,0,1,-0.01576221
81,0,0,-0.86328295
82,0,0,-0.57166195
83,0,1,-0.98473193
84,0,0,-0.60677988
85,0,1,0.91465912
86,0,1,-0.92582010
87,0,1,-0.97979590
88,0,0,-0.40966477
89,0,0,-0.57442696
90,0,0,0.69006556
91,0,1,0.86492289
92,0,0,-0.73704347
93,0,0,-0.83521527
94,0,1,-0.87183214
95,0,1,0.00000000
96,0,0,0.89442719
97,0,1,-0.95465867
98,0,0,0.00000000
99,0,1,-0.85988668
100,0,1,-0.96832966
101,0,0,-0.74926865
102,0,0,-0.51343603
103,0,0,-0.97869033
104,0,1,-0.87038828
105,0,0,0.95480528
106,0,1,0.17407766
107,0,1,-0.74833148
108,0,0,-0.98208428
109,0,0,-0.94345635
110,0,0,-0.92880922
111,0,1,-0.97252908
112,0,1,-0.52320456
113,0,0,-0.90009361
114,0,0,-0.68752387
115,0,1,0.94868330
116,0,1,-0.89922880
117,0,1,-0.99239822
118,0,0,-0.92794361
119,0,0,0.00000000
120,0,0,-0.96358830
121,0,0,-0.95025473
122,0,0,-0.88949918
123,0,0,-0.93737193
124,0,0,-0.80237742
125,0,1,0.45291081
126,0,1,-0.91524923
127,0,0,0.00000000
128,0,1,-0.97713984
129,0,1,-0.99688957
130,0,1,-0.92707076
131,0,1,-0.82821870
132,0,0,-0.90873893
133,0,0,-0.77952815
134,0,1,-0.53066863
135,0,1,0.80178373
136,0,1,-0.74877362
137,0,1,0.64888568
138,0,1,-0.94672926
139,0,1,-0.93808315
140,0,1,0.13245324
141,0,1,0.55555556
142,0,0,0.00000000
143,0,0,-0.73029674
144,0,1,0.00000000
145,0,1,-0.92582010
146,0,0,-0.96005713
147,0,0,-0.84515425
148,0,0,-0.87878788
149,0,1,0.00000000
150,0,0,0.00000000
151,0,1,-0.96214047
152,0,0,-0.37998030
153,0,1,-0.72558924
154,1,1,-0.48695785
155,1,1,0.00000000
156,1,0,-0.40824829
157,1,1,-0.54073807
158,1,0,0.00000000
159,1,0,0.00000000
160,1,1,0.00000000
161,1,0,-0.91132238
162,1,1,0.95897248
163,1,1,-0.96057965
164,1,1,-0.94167792
165,1,0,-0.75988327
166,1,0,-0.94562424
167,1,0,0.00000000
168,1,0,-0.88986246
169,1,1,-0.78346903
170,1,0,0.00000000
171,1,1,-0.84680173
172,1,1,0.00000000
173,1,0,0.00000000
174,1,1,-0.99591000
175,1,1,-0.98194626
176,1,1,-0.87038828
177,1,0,0.92717265
178,1,0,0.00000000
179,1,1,-0.94461043
180,1,1,0.00000000
181,1,0,0.00000000
182,1,1,0.00000000
183,1,1,-0.57735027
184,1,0,0.00000000
185,1,1,-0.87988269
186,1,1,0.00000000
187,1,0,-0.63636364
188,1,1,0.99832088
189,1,1,-0.91541730
190,1,0,0.00000000
191,1,0,-0.95346259
192,1,0,0.00000000
193,1,1,-0.85068573
194,1,0,-0.96709136
195,1,1,0.97347930
196,1,0,-0.98449518
197,1,1,-0.81649658
198,1,0,-0.57035183
199,1,1,-0.91369785
200,1,0,-0.85812787
201,1,1,0.00000000
202,1,0,-0.85592099
203,1,0,-0.78840451
204,1,0,0.83925433
205,1,1,-0.92847669
206,1,0,0.40618120
207,1,1,0.00000000
208,1,1,-0.69499856
209,1,1,-0.81649658
210,1,0,-0.89622143
211,1,1,0.16269784
212,1,0,-0.89087081
213,1,1,-0.76088591
214,1,1,-0.41944000
215,1,0,0.00000000
216,1,0,-0.96849600
217,1,0,-0.07930516
218,1,0,0.00000000
219,1,0,-0.99413485
220,1,0,-0.87038828
221,1,0,-0.91524923
222,1,1,-0.63116874
223,1,1,-0.37998030
224,1,1,0.00000000
225,1,0,0.00000000
226,1,1,-0.68824720
227,1,0,0.00000000
228,1,1,-0.82681063
229,1,1,0.00000000
230,1,1,-0.92582010
231,1,0,-0.52804318
232,1,0,0.87038828
233,1,1,-0.96225045
234,1,1,-0.81649658
235,1,0,1.00000000
236,1,0,-0.77777778
237,1,0,-0.49374193
238,1,0,-0.90054049
239,1,0,-0.81649658
240,1,0,-0.65871988
241,1,1,-0.96098765
242,1,1,0.00000000
243,1,1,-0.98473193
244,1,0,0.00000000
245,1,0,-0.00000000
246,1,1,0.80178373
247,1,1,0.00000000
248,1,0,-0.99413485
249,1,0,-0.88561489
250,1,0,0.00000000
251,1,0,-0.84327404
252,1,0,0.97995789
253,1,0,-0.91449110
254,1,1,0.00000000
255,1,1,-0.96225045
256,1,1,-0.88350143
257,1,1,0.72977792
258,1,1,-0.72289740
259,1,1,0.00000000
260,1,1,0.19245009
261,1,1,0.00000000
262,1,0,-0.83681286
263,1,0,0.13483997
264,1,0,-0.85518611
265,1,0,0.00000000
266,1,1,0.00000000
267,1,1,-0.59233266
268,1,1,0.68824720
269,1,0,-0.94347909
270,1,0,-0.99312707
271,1,1,-0.67970662
272,1,0,-0.42658474
273,1,0,-0.92727911
274,1,0,-0.98208428
275,1,0,0.05634362
276,1,1,0.00000000
277,1,1,-0.80178373
278,1,1,-0.87965693
279,1,1,-0.89817743
280,1,1,0.00000000
281,1,0,-0.91694930
282,1,1,0.76667895
283,1,0,0.17407766
284,1,1,-0.98393470
285,1,1,-0.94884747
286,1,1,-0.76834982
287,1,0,-0.99428113
288,1,0,-0.62469505
289,1,0,-0.75261781
290,1,1,-0.98473193
291,1,1,-0.90979927
292,1,1,0.99433423
293,1,1,-0.96373560
294,1,1,0.81649658
295,1,0,-0.57035183
296,1,0,0.58819874
297,1,1,-0.85533720
298,1,0,0.00000000
299,1,1,-0.84873773
300,1,0,-0.92338052
301,1,0,-0.95249895
302,1,1,-0.74581524
303,1,1,0.85979289
304,1,1,-0.50000000
305,1,1,-0.99358842
306,1,1,-0.96189066
307,1,1,-0.85978530
308,1,1,-0.94884747
309,1,0,-0.62469505
310,1,1,0.75664991
311,1,1,-0.67918547
312,1,1,-0.96942209
313,1,1,-0.53294804
314,1,1,-0.47140452
315,1,0,0.00000000
316,1,1,-0.87038828
317,1,0,-0.94576875
318,1,0,0.00000000
319,1,0,0.83927406
320,1,1,-0.86666667
321,1,1,-0.75277265
322,1,0,-0.97478634
323,1,1,0.00000000
324,1,0,-0.61313934
325,1,0,0.00000000
326,1,0,0.00000000
327,1,1,0.00000000
328,1,0,0.00000000
329,1,0,-0.93704257
