sid,grp,cnd,range,rpc,rdpc
0,0,0,11.00000000,-1.00000000,-0.40000000
1,0,0,1.00000000,0.00000000,0.00000000
2,0,0,4.00000000,-0.20000000,-0.20000000
3,0,1,6.00000000,-0.80000000,-0.40000000
4,0,0,2.00000000,-0.80000000,-0.80000000
5,0,0,3.00000000,0.80000000,-0.40000000
6,0,0,7.00000000,-0.80000000,-0.40000000
7,0,1,6.00000000,-0.80000000,-0.80000000
8,0,1,3.00000000,-0.20000000,-0.20000000
9,0,1,6.00000000,0.80000000,0.00000000
10,0,0,5.00000000,0.00000000,0.00000000
11,0,0,5.00000000,-1.00000000,-0.60000000
12,0,1,6.00000000,-0.80000000,0.40000000
13,0,1,9.00000000,-0.40000000,0.20000000
14,0,0,1.00000000,0.00000000,0.00000000
15,0,1,3.00000000,0.00000000,0.00000000
16,0,1,4.00000000,-0.40000000,-0.40000000
17,0,1,9.00000000,-0.40000000,0.40000000
18,0,1,7.00000000,0.40000000,0.40000000
19,0,0,7.00000000,-1.00000000,-0.40000000
20,0,0,4.00000000,-1.00000000,-1.00000000
21,0,1,7.00000000,-0.40000000,-0.80000000
22,0,0,10.00000000,-0.40000000,-0.80000000
23,0,1,3.00000000,0.00000000,0.00000000
24,0,0,6.00000000,0.40000000,1.00000000
25,0,1,5.00000000,0.00000000,0.00000000
26,0,1,6.00000000,-0.80000000,0.40000000
27,0,0,2.00000000,1.00000000,0.80000000
28,0,0,3.00000000,0.00000000,0.00000000
29,0,1,9.00000000,-0.80000000,-0.80000000
30,0,0,3.00000000,-1.00000000,-0.80000000
31,0,0,6.00000000,-0.20000000,-1.00000000
32,0,1,4.00000000,-0.80000000,0.40000000
33,0,0,3.00000000,-0.80000000,-0.80000000
34,0,0,6.00000000,-0.20000000,-1.00000000
35,0,1,5.00000000,-0.80000000,0.00000000
36,0,0,7.00000000,0.00000000,0.00000000
37,0,1,8.00000000,0.80000000,0.40000000
38,0,1,7.00000000,0.00000000,0.00000000
39,0,1,8.00000000,-0.80000000,0.00000000
40,0,0,10.00000000,0.00000000,0.00000000
41,0,1,6.00000000,-0.80000000,0.20000000
42,0,1,1.00000000,0.00000000,0.00000000
43,0,0,5.00000000,-1.00000000,0.80000000
44,0,1,4.00000000,0.40000000,0.00000000
45,0,1,4.00000000,0.00000000,0.00000000
46,0,1,3.00000000,0.40000000,0.60000000
47,0,0,9.00000000,-1.00000000,-1.00000000
48,0,0,9.00000000,-0.20000000,-1.00000000
49,0,0,5.00000000,1.00000000,-0.40000000
50,0,1,7.00000000,-0.40000000,0.40000000
51,0,1,6.00000000,-0.80000000,-0.80000000
52,0,0,7.00000000,0.80000000,-0.40000000
53,0,1,5.00000000,0.40000000,0.40000000
54,0,0,7.00000000,-0.80000000,0.40000000
55,0,1,7.00000000,-1.00000000,0.00000000
56,0,1,4.00000000,-1.00000000,-0.60000000
57,0,1,8.00000000,-0.20000000,-0.20000000
58,0,0,5.00000000,0.00000000,0.00000000
59,0,0,8.00000000,-1.00000000,0.40000000
60,0,0,4.00000000,0.80000000,-0.40000000
61,0,0,4.00000000,-1.00000000,0.40000000
62,0,0,6.00000000,0.80000000,0.20000000
63,0,1,10.00000000,-1.00000000,0.40000000
64,0,1,6.00000000,-0.80000000,0.40000000
65,0,1,7.00000000,-1.00000000,0.20000000
66,0,0,10.00000000,-1.00000000,-0.60000000
67,0,0,0.00000000,0.00000000,0.40000000
68,0,1,7.00000000,-1.00000000,-0.40000000
69,0,0,4.00000000,-0.20000000,0.00000000
70,0,0,4.00000000,-0.80000000,0.00000000
71,0,1,4.00000000,0.00000000,0.00000000
72,0,0,3.00000000,-0.80000000,-0.60000000
73,0,1,5.00000000,-0.20000000,0.40000000
74,0,1,3.00000000,0.40000000,0.00000000
75,0,1,5.00000000,-0.20000000,-0.20000000
76,0,0,5.00000000,1.00000000,0.00000000
77,0,1,7.00000000,-0.80000000,0.40000000
78,0,0,8.00000000,0.80000000,1.00000000
79,0,1,5.00000000,-0.80000000,-0.40000000
80,0,1,4.00000000,0.00000000,0.40000000
81,0,0,7.00000000,-0.20000000,-0.80000000
82,0,0,3.00000000,-0.40000000,0.40000000
83,0,1,3.00000000,-0.80000000,0.00000000
84,0,0,6.00000000,-0.20000000,-0.80000000
85,0,1,5.00000000,0.80000000,0.80000000
86,0,1,5.00000000,-0.40000000,-0.80000000
87,0,1,9.00000000,-0.20000000,-0.20000000
88,0,0,9.00000000,-0.20000000,-0.60000000
89,0,0,6.00000000,0.00000000,0.40000000
90,0,0,3.00000000,0.80000000,-0.40000000
91,0,1,8.00000000,1.00000000,-0.80000000
92,0,0,5.00000000,-0.80000000,-0.80000000
93,0,0,5.00000000,-1.00000000,-0.80000000
94,0,1,7.00000000,-0.40000000,-0.40000000
95,0,1,5.00000000,0.00000000,0.00000000
96,0,0,3.00000000,0.80000000,0.40000000
97,0,1,6.00000000,-0.80000000,-0.80000000
98,0,0,6.00000000,0.00000000,0.00000000
99,0,1,8.00000000,-0.80000000,-0.40000000
100,0,1,2.00000000,-0.80000000,-0.80000000
101,0,0,6.00000000,-0.20000000,-0.80000000
102,0,0,3.00000000,-0.60000000,-0.80000000
103,0,0,9.00000000,-1.00000000,-0.60000000
104,0,1,3.00000000,-0.80000000,-0.80000000
105,0,0,6.00000000,0.80000000,-0.20000000
