# sid,grp,cnd,lrn,dpc,pc,t1,t2,t3,t4,ord,tid
0,0,0,1,3.000000,4.000000,0,1,0,0,1,2
0,0,0,3,4.000000,2.000000,0,0,0,1,2,4
0,0,0,4,1.000000,1.000000,1,0,0,0,3,1
0,0,0,2,2.000000,3.000000,0,0,1,0,4,3
1,0,0,3,4.000000,2.000000,1,0,0,0,1,1
1,0,0,4,3.000000,4.000000,0,0,1,0,2,3
1,0,0,1,1.000000,3.000000,0,0,0,1,3,4
1,0,0,2,2.000000,1.000000,0,1,0,0,4,2
2,0,0,1,4.000000,4.000000,0,0,1,0,1,3
2,0,0,4,3.000000,3.000000,1,0,0,0,2,1
2,0,0,2,1.000000,1.000000,0,1,0,0,3,2
2,0,0,3,2.000000,2.000000,0,0,0,1,4,4
3,0,1,2,2.000000,3.000000,0,0,1,0,1,3
3,0,1,1,3.000000,4.000000,1,0,0,0,2,1
3,0,1,4,1.000000,2.000000,0,1,0,0,3,2
3,0,1,3,4.000000,1.000000,0,0,0,1,4,4
4,0,0,1,4.000000,4.000000,0,0,0,1,1,4
4,0,0,4,2.000000,2.000000,1,0,0,0,2,1
4,0,0,2,3.000000,3.000000,0,0,1,0,3,3
4,0,0,3,1.000000,1.000000,0,1,0,0,4,2
5,0,0,4,3.000000,4.000000,0,0,1,0,1,3
5,0,0,1,4.000000,1.000000,1,0,0,0,2,1
5,0,0,3,1.000000,2.000000,0,1,0,0,3,2
5,0,0,2,2.000000,3.000000,0,0,0,1,4,4
6,0,0,2,4.000000,3.000000,1,0,0,0,1,1
6,0,0,1,2.000000,4.000000,0,0,0,1,2,4
6,0,0,3,3.000000,1.000000,0,1,0,0,3,2
6,0,0,4,1.000000,2.000000,0,0,1,0,4,3
7,0,1,1,3.000000,4.000000,0,1,0,0,1,2
7,0,1,2,4.000000,3.000000,0,0,1,0,2,3
7,0,1,4,1.000000,2.000000,1,0,0,0,3,1
7,0,1,3,2.000000,1.000000,0,0,0,1,4,4
8,0,1,4,3.000000,3.000000,0,0,0,1,1,4
8,0,1,1,4.000000,4.000000,1,0,0,0,2,1
8,0,1,2,1.000000,1.000000,0,0,1,0,3,3
8,0,1,3,2.000000,2.000000,0,1,0,0,4,2
9,0,1,4,3.000000,4.000000,1,0,0,0,1,1
9,0,1,3,4.000000,3.000000,0,0,1,0,2,3
9,0,1,1,1.000000,2.000000,0,1,0,0,3,2
9,0,1,2,2.000000,1.000000,0,0,0,1,4,4
10,0,0,3,2.000000,4.000000,0,1,0,0,1,2
10,0,0,4,4.000000,3.000000,0,0,0,1,2,4
10,0,0,1,1.000000,1.000000,1,0,0,0,3,1
10,0,0,2,3.000000,2.000000,0,0,1,0,4,3
11,0,0,2,4.000000,3.000000,1,0,0,0,1,1
11,0,0,1,3.000000,4.000000,0,1,0,0,2,2
11,0,0,3,1.000000,2.000000,0,0,1,0,3,3
11,0,0,4,2.000000,1.000000,0,0,0,1,4,4
12,0,1,2,4.000000,4.000000,0,0,0,1,1,4
12,0,1,4,3.000000,1.000000,0,1,0,0,2,2
12,0,1,1,1.000000,3.000000,1,0,0,0,3,1
12,0,1,3,2.000000,2.000000,0,0,1,0,4,3
13,0,1,4,4.000000,3.000000,0,0,1,0,1,3
13,0,1,1,3.000000,4.000000,1,0,0,0,2,1
13,0,1,3,1.000000,1.000000,0,1,0,0,3,2
13,0,1,2,2.000000,2.000000,0,0,0,1,4,4
14,0,0,3,3.000000,2.000000,0,0,1,0,1,3
14,0,0,4,4.000000,4.000000,0,0,0,1,2,4
14,0,0,1,1.000000,1.000000,0,1,0,0,3,2
14,0,0,2,2.000000,3.000000,1,0,0,0,4,1
15,0,1,3,4.000000,3.000000,1,0,0,0,1,1
15,0,1,4,3.000000,4.000000,0,0,1,0,2,3
15,0,1,1,2.000000,2.000000,0,0,0,1,3,4
15,0,1,2,1.000000,1.000000,0,1,0,0,4,2
16,0,1,4,2.000000,3.000000,0,0,1,0,1,3
16,0,1,1,4.000000,4.000000,0,0,0,1,2,4
16,0,1,2,1.000000,2.000000,0,1,0,0,3,2
16,0,1,3,3.000000,1.000000,1,0,0,0,4,1
17,0,1,3,1.000000,3.000000,0,0,1,0,1,3
17,0,1,1,2.000000,4.000000,1,0,0,0,2,1
17,0,1,2,3.000000,1.000000,0,1,0,0,3,2
17,0,1,4,4.000000,2.000000,0,0,0,1,4,4
18,0,1,3,2.000000,2.000000,0,0,1,0,1,3
18,0,1,4,3.000000,4.000000,1,0,0,0,2,1
18,0,1,1,1.000000,3.000000,0,1,0,0,3,2
18,0,1,2,4.000000,1.000000,0,0,0,1,4,4
19,0,0,1,4.000000,4.000000,0,1,0,0,1,2
19,0,0,2,2.000000,3.000000,0,0,0,1,2,4
19,0,0,3,1.000000,2.000000,1,0,0,0,3,1
19,0,0,4,3.000000,1.000000,0,0,1,0,4,3
20,0,0,3,2.000000,2.000000,0,0,0,1,1,4
20,0,0,1,4.000000,4.000000,1,0,0,0,2,1
20,0,0,4,1.000000,1.000000,0,0,1,0,3,3
20,0,0,2,3.000000,3.000000,0,1,0,0,4,2
21,0,1,1,3.000000,3.000000,0,1,0,0,1,2
21,0,1,3,2.000000,4.000000,0,0,0,1,2,4
21,0,1,4,1.000000,1.000000,1,0,0,0,3,1
21,0,1,2,4.000000,2.000000,0,0,1,0,4,3
22,0,0,2,2.000000,4.000000,0,0,0,1,1,4
