"","form","nvars","sing","loglik","mfR2","accuracy","AIC","BIC","xtime"
"524001","nxt ~ tord + pct + pcr + pc + pval + relt + scsq + lrn + int + comp + time + prog + rule + lrn2 | trial + blkt","16","FALSE","-2571.80799752587","0.123843323006312","0.434291097503533","5189.61599505175","5319.80946067092","0.359"
"524002","nxt ~ tord + pct + pcr + pc + pval + relt + scsq + lrn + int + comp + time + prog + rule | grp + trial + blkt","16","FALSE","-2572.15153694257","0.123726286915734","0.436175223739991","5194.30307388514","5335.81771042772","0.486"
"524003","nxt ~ tord + pct + pcr + pc + pval + relt + scsq + lrn + int + comp + time + prog + lrn2 | grp + trial + blkt","16","FALSE","-2572.03250708947","0.123766837688052","0.439943476212906","5194.06501417894","5335.57965072153","0.526"
"524004","nxt ~ tord + pct + pcr + pc + pval + relt + scsq + lrn + int + comp + time + rule + lrn2 | grp + trial + blkt","16","FALSE","-2571.89719431522","0.123812935682441","0.439001413094677","5193.79438863045","5335.30902517303","0.336"
"524005","nxt ~ tord + pct + pcr + pc + pval + relt + scsq + lrn + int + comp + prog + rule + lrn2 | grp + trial + blkt","16","FALSE","-2664.2338785884","0.0923559207982684","0.416391898257183","5378.46775717681","5519.98239371939","0.576"
"524006","nxt ~ tord + pct + pcr + pc + pval + relt + scsq + lrn + int + time + prog + rule + lrn2 | grp + trial + blkt","16","FALSE","-2571.33647325256","0.124003960635881","0.439472444653792","5192.67294650512","5334.1875830477","0.336"
"524007","nxt ~ tord + pct + pcr + pc + pval + relt + scsq + lrn + comp + time + prog + rule + lrn2 | grp + trial + blkt","16","FALSE","-2573.88504156893","0.123135721191369","0.440885539331135","5197.77008313786","5339.28471968045","0.564"
"524008","nxt ~ tord + pct + pcr + pc + pval + relt + scsq + int + comp + time + prog + rule + lrn2 | grp + trial + blkt","16","FALSE","-2573.08829968533","0.123407153087463","0.442769665567593","5196.17659937066","5337.69123591324","0.345"
"524009","nxt ~ tord + pct + pcr + pc + pval + relt + lrn + int + comp + time + prog + rule + lrn2 | grp + trial + blkt","16","FALSE","-2571.727416853","0.123870775014644","0.438530381535563","5193.454833706","5334.96947024858","0.375"
"524010","nxt ~ tord + pct + pcr + pc + pval + sc + scsq + lrn + int + comp + time + prog + rule + lrn2 | grp + trial","16","TRUE",NA,NA,NA,NA,NA,"0.091"
"524011","nxt ~ tord + pct + pcr + pc + pval + sc + scsq + lrn + int + comp + time + prog + rule + lrn2 | grp + blkt","16","TRUE",NA,NA,NA,NA,NA,"0.09"
"524012","nxt ~ tord + pct + pcr + pc + pval + sc + scsq + lrn + int + comp + time + prog + rule + lrn2 | trial + blkt","16","TRUE",NA,NA,NA,NA,NA,"0.096"
"524013","nxt ~ tord + pct + pcr + pc + pval + sc + scsq + lrn + int + comp + time + prog + rule | grp + trial + blkt","16","TRUE",NA,NA,NA,NA,NA,"0.094"
"524014","nxt ~ tord + pct + pcr + pc + pval + sc + scsq + lrn + int + comp + time + prog + lrn2 | grp + trial + blkt","16","TRUE",NA,NA,NA,NA,NA,"0.108"
"524015","nxt ~ tord + pct + pcr + pc + pval + sc + scsq + lrn + int + comp + time + rule + lrn2 | grp + trial + blkt","16","TRUE",NA,NA,NA,NA,NA,"0.122"
"524016","nxt ~ tord + pct + pcr + pc + pval + sc + scsq + lrn + int + comp + prog + rule + lrn2 | grp + trial + blkt","16","TRUE",NA,NA,NA,NA,NA,"0.127"
"524017","nxt ~ tord + pct + pcr + pc + pval + sc + scsq + lrn + int + time + prog + rule + lrn2 | grp + trial + blkt","16","TRUE",NA,NA,NA,NA,NA,"0.11"
"524018","nxt ~ tord + pct + pcr + pc + pval + sc + scsq + lrn + comp + time + prog + rule + lrn2 | grp + trial + blkt","16","TRUE",NA,NA,NA,NA,NA,"0.096"
"524019","nxt ~ tord + pct + pcr + pc + pval + sc + scsq + int + comp + time + prog + rule + lrn2 | grp + trial + blkt","16","TRUE",NA,NA,NA,NA,NA,"0.093"
"524020","nxt ~ tord + pct + pcr + pc + pval + sc + lrn + int + comp + time + prog + rule + lrn2 | grp + trial + blkt","16","TRUE",NA,NA,NA,NA,NA,"0.093"
"524021","nxt ~ tord + pct + pcr + pc + pval + scsq + lrn + int + comp + time + prog + rule + lrn2 | grp + trial + blkt","16","FALSE","-2756.77376316157","0.0608296801788266","0.395666509656147","5563.54752632314","5705.06216286573","0.549"
"524022","nxt ~ tord + pct + pcr + pc + relt + sc + scsq + lrn + int + comp + time + prog + rule + lrn2 | grp + trial","16","TRUE",NA,NA,NA,NA,NA,"0.09"
"524023","nxt ~ tord + pct + pcr + pc + relt + sc + scsq + lrn + int + comp + time + prog + rule + lrn2 | grp + blkt","16","TRUE",NA,NA,NA,NA,NA,"0.117"
"524024","nxt ~ tord + pct + pcr + pc + relt + sc + scsq + lrn + int + comp + time + prog + rule + lrn2 | trial + blkt","16","TRUE",NA,NA,NA,NA,NA,"0.091"
"524025","nxt ~ tord + pct + pcr + pc + relt + sc + scsq + lrn + int + comp + time + prog + rule | grp + trial + blkt","16","TRUE",NA,NA,NA,NA,NA,"0.1"
"524026","nxt ~ tord + pct + pcr + pc + relt + sc + scsq + lrn + int + comp + time + prog + lrn2 | grp + trial + blkt","16","TRUE",NA,NA,NA,NA,NA,"0.061"
"524027","nxt ~ tord + pct + pcr + pc + relt + sc + scsq + lrn + int + comp + time + rule + lrn2 | grp + trial + blkt","16","TRUE",NA,NA,NA,NA,NA,"0.094"
"524028","nxt ~ tord + pct + pcr + pc + relt + sc + scsq + lrn + int + comp + prog + rule + lrn2 | grp + trial + blkt","16","TRUE",NA,NA,NA,NA,NA,"0.093"
"524029","nxt ~ tord + pct + pcr + pc + relt + sc + scsq + lrn + int + time + prog + rule + lrn2 | grp + trial + blkt","16","TRUE",NA,NA,NA,NA,NA,"0.093"
"524030","nxt ~ tord + pct + pcr + pc + relt + sc + scsq + lrn + comp + time + prog + rule + lrn2 | grp + trial + blkt","16","TRUE",NA,NA,NA,NA,NA,"0.095"
"524031","nxt ~ tord + pct + pcr + pc + relt + sc + scsq + int + comp + time + prog + rule + lrn2 | grp + trial + blkt","16","TRUE",NA,NA,NA,NA,NA,"0.097"
"524032","nxt ~ tord + pct + pcr + pc + relt + sc + lrn + int + comp + time + prog + rule + lrn2 | grp + trial + blkt","16","TRUE",NA,NA,NA,NA,NA,"0.095"
"524033","nxt ~ tord + pct + pcr + pc + relt + scsq + lrn + int + comp + time + prog + rule + lrn2 | grp + trial + blkt","16","FALSE","-2583.50663977277","0.119857860823196","0.444182760244936","5217.01327954553","5358.52791608811","0.381"
"524034","nxt ~ tord + pct + pcr + pc + sc + scsq + lrn + int + comp + time + prog + rule + lrn2 | grp + trial + blkt","16","TRUE",NA,NA,NA,NA,NA,"0.097"
"524035","nxt ~ tord + pct + pcr + pval + relt + sc + scsq + lrn + int + comp + time + prog + rule + lrn2 | grp + trial","16","FALSE","-2571.60277490187","0.123913237701523","0.439472444653792","5189.20554980375","5319.39901542292","0.337"
"524036","nxt ~ tord + pct + pcr + pval + relt + sc + scsq + lrn + int + comp + time + prog + rule + lrn2 | grp + blkt","16","FALSE","-2573.26557943935","0.123346757894538","0.439001413094677","5192.53115887869","5322.72462449787","0.505"
"524037","nxt ~ tord + pct + pcr + pval + relt + sc + scsq + lrn + int + comp + time + prog + rule + lrn2 | trial + blkt","16","FALSE","-2571.80799752587","0.123843323006312","0.434291097503533","5189.61599505175","5319.80946067092","0.347"
"524038","nxt ~ tord + pct + pcr + pval + relt + sc + scsq + lrn + int + comp + time + prog + rule | grp + trial + blkt","16","FALSE","-2572.15153694257","0.123726286915734","0.436175223739991","5194.30307388514","5335.81771042772","0.544"
"524039","nxt ~ tord + pct + pcr + pval + relt + sc + scsq + lrn + int + comp + time + prog + lrn2 | grp + trial + blkt","16","FALSE","-2572.03250708947","0.123766837688052","0.439943476212906","5194.06501417894","5335.57965072153","0.349"
"524040","nxt ~ tord + pct + pcr + pval + relt + sc + scsq + lrn + int + comp + time + rule + lrn2 | grp + trial + blkt","16","FALSE","-2571.89719431522","0.123812935682441","0.439001413094677","5193.79438863045","5335.30902517303","0.572"
"524041","nxt ~ tord + pct + pcr + pval + relt + sc + scsq + lrn + int + comp + prog + rule + lrn2 | grp + trial + blkt","16","FALSE","-2664.2338785884","0.0923559207982684","0.416391898257183","5378.46775717681","5519.98239371939","0.373"
"524042","nxt ~ tord + pct + pcr + pval + relt + sc + scsq + lrn + int + time + prog + rule + lrn2 | grp + trial + blkt","16","FALSE","-2571.33647325256","0.124003960635881","0.439472444653792","5192.67294650512","5334.1875830477","0.54"
"524043","nxt ~ tord + pct + pcr + pval + relt + sc + scsq + lrn + comp + time + prog + rule + lrn2 | grp + trial + blkt","16","FALSE","-2573.88504156893","0.123135721191369","0.440885539331135","5197.77008313786","5339.28471968045","0.344"
"524044","nxt ~ tord + pct + pcr + pval + relt + sc + scsq + int + comp + time + prog + rule + lrn2 | grp + trial + blkt","16","FALSE","-2573.08829968533","0.123407153087463","0.442769665567593","5196.17659937066","5337.69123591324","0.549"
"524045","nxt ~ tord + pct + pcr + pval + relt + sc + lrn + int + comp + time + prog + rule + lrn2 | grp + trial + blkt","16","FALSE","-2571.727416853","0.123870775014644","0.438530381535563","5193.454833706","5334.96947024858","0.406"
"524046","nxt ~ tord + pct + pcr + pval + relt + scsq + lrn + int + comp + time + prog + rule + lrn2 | grp + trial + blkt","16","FALSE","-2571.09371278992","0.124086663621663","0.438059349976448","5192.18742557983","5333.70206212242","0.614"
"524047","nxt ~ tord + pct + pcr + pval + sc + scsq + lrn + int + comp + time + prog + rule + lrn2 | grp + trial + blkt","16","FALSE","-2756.77376316157","0.0608296801788266","0.395666509656147","5563.54752632314","5705.06216286573","0.373"
"524048","nxt ~ tord + pct + pcr + relt + sc + scsq + lrn + int + comp + time + prog + rule + lrn2 | grp + trial + blkt","16","FALSE","-2583.50663977277","0.119857860823196","0.444182760244936","5217.01327954553","5358.52791608811","0.585"
"524049","nxt ~ tord + pct + pc + pval + relt + sc + scsq + lrn + int + comp + time + prog + rule + lrn2 | grp + trial","16","TRUE",NA,NA,NA,NA,NA,"0.084"
"524050","nxt ~ tord + pct + pc + pval + relt + sc + scsq + lrn + int + comp + time + prog + rule + lrn2 | grp + blkt","16","TRUE",NA,NA,NA,NA,NA,"0.12"
"524051","nxt ~ tord + pct + pc + pval + relt + sc + scsq + lrn + int + comp + time + prog + rule + lrn2 | trial + blkt","16","TRUE",NA,NA,NA,NA,NA,"0.057"
"524052","nxt ~ tord + pct + pc + pval + relt + sc + scsq + lrn + int + comp + time + prog + rule | grp + trial + blkt","16","TRUE",NA,NA,NA,NA,NA,"0.061"
"524053","nxt ~ tord + pct + pc + pval + relt + sc + scsq + lrn + int + comp + time + prog + lrn2 | grp + trial + blkt","16","TRUE",NA,NA,NA,NA,NA,"0.312"
"524054","nxt ~ tord + pct + pc + pval + relt + sc + scsq + lrn + int + comp + time + rule + lrn2 | grp + trial + blkt","16","TRUE",NA,NA,NA,NA,NA,"0.096"
"524055","nxt ~ tord + pct + pc + pval + relt + sc + scsq + lrn + int + comp + prog + rule + lrn2 | grp + trial + blkt","16","TRUE",NA,NA,NA,NA,NA,"0.098"
"524056","nxt ~ tord + pct + pc + pval + relt + sc + scsq + lrn + int + time + prog + rule + lrn2 | grp + trial + blkt","16","TRUE",NA,NA,NA,NA,NA,"0.367"
"524057","nxt ~ tord + pct + pc + pval + relt + sc + scsq + lrn + comp + time + prog + rule + lrn2 | grp + trial + blkt","16","TRUE",NA,NA,NA,NA,NA,"0.062"
"524058","nxt ~ tord + pct + pc + pval + relt + sc + scsq + int + comp + time + prog + rule + lrn2 | grp + trial + blkt","16","TRUE",NA,NA,NA,NA,NA,"0.338"
"524059","nxt ~ tord + pct + pc + pval + relt + sc + lrn + int + comp + time + prog + rule + lrn2 | grp + trial + blkt","16","TRUE",NA,NA,NA,NA,NA,"0.093"
"524060","nxt ~ tord + pct + pc + pval + relt + scsq + lrn + int + comp + time + prog + rule + lrn2 | grp + trial + blkt","16","FALSE","-2570.93696605911","0.124140063679106","0.438059349976448","5191.87393211821","5333.38856866079","0.525"
"524061","nxt ~ tord + pct + pc + pval + sc + scsq + lrn + int + comp + time + prog + rule + lrn2 | grp + trial + blkt","16","TRUE",NA,NA,NA,NA,NA,"0.087"
"524062","nxt ~ tord + pct + pc + relt + sc + scsq + lrn + int + comp + time + prog + rule + lrn2 | grp + trial + blkt","16","TRUE",NA,NA,NA,NA,NA,"0.121"
"524063","nxt ~ tord + pct + pval + relt + sc + scsq + lrn + int + comp + time + prog + rule + lrn2 | grp + trial + blkt","16","FALSE","-2570.93696605911","0.124140063679106","0.438059349976448","5191.87393211821","5333.38856866079","0.352"
