"","form","nvars","sing","loglik","mfR2","accuracy","AIC","BIC","xtime"
"1","nxt ~ currentd | 1","1","FALSE","-2319.38796448222","0.209837105423555","0.379651436646255","4646.77592896444","4669.41827081125","0.112"
"2","nxt ~ pval | 1","1","FALSE","-2821.9563547001","0.0386234490545837","0.371172868582195","5651.91270940021","5674.55505124702","0.061"
"3","nxt ~ relt | 1","1","FALSE","-2757.66161946296","0.0605272076663298","0.390014130946773","5523.32323892592","5545.96558077273","0.069"
"4","nxt ~ pc | 1","1","FALSE","-2918.69818458557","0.00566570093330931","0.301931229392369","5845.39636917113","5868.03871101795","0.187"
"5","nxt ~ int | 1","1","FALSE","-2925.91747155652","0.00320625353722848","0.286387187941592","5859.83494311304","5882.47728495985","0.057"
"6","nxt ~ time | 1","1","FALSE","-2910.38523441368","0.00849773458653025","0.298634008478568","5828.77046882736","5851.41281067417","0.054"
"7","nxt ~ currentd + pval | 1","2","FALSE","-2274.31650773602","0.225191928881607","0.437588318417334","4558.63301547204","4586.93594278055","0.106"
"8","nxt ~ currentd + relt | 1","2","FALSE","-2287.92304270623","0.220556490903202","0.403674046161093","4585.84608541246","4614.14901272097","0.139"
"9","nxt ~ currentd + pc | 1","2","FALSE","-2309.51115175577","0.213201911593385","0.404145077720207","4629.02230351154","4657.32523082006","0.281"
"10","nxt ~ currentd + int | 1","2","FALSE","-2304.37182054685","0.214952765217881","0.396608572774376","4618.74364109371","4647.04656840222","0.113"
"11","nxt ~ currentd + time | 1","2","FALSE","-2278.97058811973","0.223606389211703","0.42769665567593","4567.94117623946","4596.24410354798","0.11"
"12","nxt ~ pval + relt | 1","2","FALSE","-2725.507729234","0.0714813090776826","0.383890720678285","5461.01545846799","5489.31838577651","0.069"
"13","nxt ~ pval + pc | 1","2","FALSE","-2817.72733562827","0.0400641799724766","0.374470089495996","5645.45467125654","5673.75759856506","0.067"
"14","nxt ~ pval + int | 1","2","FALSE","-2808.22504358966","0.0433013954350554","0.37588318417334","5626.45008717931","5654.75301448783","0.188"
"15","nxt ~ pval + time | 1","2","FALSE","-2783.8828817502","0.0515942180907981","0.390956194065002","5577.7657635004","5606.06869080891","0.052"
"16","nxt ~ relt + pc | 1","2","FALSE","-2746.53883985312","0.0643164865049004","0.383890720678285","5503.07767970624","5531.38060701475","0.06"
"17","nxt ~ relt + int | 1","2","FALSE","-2713.31272189544","0.0756358715939904","0.406029203956665","5436.62544379089","5464.9283710994","0.065"
"18","nxt ~ relt + time | 1","2","FALSE","-2609.15675999294","0.111119446401039","0.425341497880358","5228.31351998589","5256.6164472944","0.064"
"19","nxt ~ pc + int | 1","2","FALSE","-2910.85339206826","0.00833824388763582","0.307112576542628","5831.70678413652","5860.00971144504","0.055"
"20","nxt ~ pc + time | 1","2","FALSE","-2894.69403416353","0.0138433707624954","0.312764955252002","5799.38806832706","5827.69099563558","0.056"
"21","nxt ~ int + time | 1","2","FALSE","-2909.56933223382","0.0087756939611594","0.303344324069713","5829.13866446763","5857.44159177615","0.057"
"22","nxt ~ currentd + pval + relt | 1","3","FALSE","-2262.90106307739","0.229080912067028","0.43193593970796","4537.80212615478","4571.765638925","0.239"
"23","nxt ~ currentd + pval + pc | 1","3","FALSE","-2274.04383648525","0.225284821794771","0.435704192180876","4560.08767297049","4594.05118574071","0.114"
"24","nxt ~ currentd + pval + int | 1","3","FALSE","-2256.30256273419","0.231328871533443","0.436646255299105","4524.60512546838","4558.5686382386","0.116"
"25","nxt ~ currentd + pval + time | 1","3","FALSE","-2225.19423596874","0.241926773177684","0.459726801695714","4462.38847193748","4496.3519847077","0.237"
"26","nxt ~ currentd + relt + pc | 1","3","FALSE","-2279.55163417911","0.223408439992688","0.42769665567593","4571.10326835822","4605.06678112844","0.115"
