% 1. Title: Open Loop Data
%
% 2. Comments:
%    - The first 3 attributes are:
%      - sid: subject id
%      - group: (exploration style) F = free exploration, S = strategic exploration
%      - cond: (informedness condition) i- = uninformed, i+ = informed
%    - After, there are 4 similar attribute groups (one group per task), each consisting of:
%      - Raw and ranked PC scores (#_pc15, #_pc10, #_pc5; #_rpc15, #_rpc10, #_rpc5)
%	     - 5, 10, and 15 are the numbers of trials over which PC was calculated 
%      - Two learning progress measures (#_lp1, #_lp2)
%	     - lp1 is the difference between PC over the last and the first 5 trials
%		 - lp2 is the 
%      - Raw and ranked learnability ratings (#_lrn, #_rlrn)
%      - '#' encodes task identity: 1 = 1D, 2 = I1D, 3 = 2D, 4 = R
%    - The last attribute contains the first free play choice that the subject made
%    - Thus for each subject, there are 3 + (4 * 10) + 1 = 44 attributes
%
%
@RELATION open_loop

@ATTRIBUTE sid          INTEGER
@ATTRIBUTE group        {F, S}
@ATTRIBUTE cond         {i-, i+}
@ATTRIBUTE 1_pc15       NUMERIC
@ATTRIBUTE 1_pc10       NUMERIC
@ATTRIBUTE 1_pc5        NUMERIC
@ATTRIBUTE 1_rpc15      INTEGER
@ATTRIBUTE 1_rpc10      INTEGER
@ATTRIBUTE 1_rpc5       INTEGER
@ATTRIBUTE 1_lp1        NUMERIC
@ATTRIBUTE 1_lp2        NUMERIC
@ATTRIBUTE 1_lrn        NUMERIC
@ATTRIBUTE 1_rlrn       INTEGER
@ATTRIBUTE 2_pc15       NUMERIC
@ATTRIBUTE 2_pc10       NUMERIC
@ATTRIBUTE 2_pc5        NUMERIC
@ATTRIBUTE 2_rpc15      INTEGER
@ATTRIBUTE 2_rpc10      INTEGER
@ATTRIBUTE 2_rpc5       INTEGER
@ATTRIBUTE 2_lp1        NUMERIC
@ATTRIBUTE 2_lp2        NUMERIC
@ATTRIBUTE 2_lrn        NUMERIC
@ATTRIBUTE 2_rlrn       INTEGER
@ATTRIBUTE 3_pc15       NUMERIC
@ATTRIBUTE 3_pc10       NUMERIC
@ATTRIBUTE 3_pc5        NUMERIC
@ATTRIBUTE 3_rpc15      INTEGER
@ATTRIBUTE 3_rpc10      INTEGER
@ATTRIBUTE 3_rpc5       INTEGER
@ATTRIBUTE 3_lp1        NUMERIC
@ATTRIBUTE 3_lp2        NUMERIC
@ATTRIBUTE 3_lrn        NUMERIC
@ATTRIBUTE 3_rlrn       INTEGER
@ATTRIBUTE 4_pc15       NUMERIC
@ATTRIBUTE 4_pc10       NUMERIC
@ATTRIBUTE 4_pc5        NUMERIC
@ATTRIBUTE 4_rpc15      INTEGER
@ATTRIBUTE 4_rpc10      INTEGER
@ATTRIBUTE 4_rpc5       INTEGER
@ATTRIBUTE 4_lp1        NUMERIC
@ATTRIBUTE 4_lp2        NUMERIC
@ATTRIBUTE 4_lrn        NUMERIC
@ATTRIBUTE 4_rlrn       INTEGER
@ATTRIBUTE choice       {1D, I1D, 2D, R}

@DATA
0,F,i-,0.9333333333333333,1.0,1.0,4,4,4,0.19999999999999996,0.025,3.0,2,0.7333333333333333,0.8,0.8,3,4,4,0.20000000000000007,0.0142857142857143,6.0,3,0.2,0.2,0.0,1,1,1,-0.2,-0.014285714285714294,8.0,4,0.8,0.8,1.0,4,4,4,0.19999999999999996,0.014285714285714304,6.0,3,1D
1,F,i-,0.6666666666666666,0.8,1.0,3,4,4,0.6,0.06071428571428572,10.0,4,0.7333333333333333,0.8,1.0,3,4,4,0.4,0.03571428571428573,10.0,4,0.7333333333333333,0.9,0.8,3,4,4,0.4,0.042857142857142864,10.0,4,0.6666666666666666,0.8,0.8,3,4,4,0.4,0.042857142857142864,10.0,4, I1D
2,F,i-,0.6666666666666666,0.9,1.0,3,4,4,0.8,0.07142857142857145,2.0,1,0.6,0.5,0.4,3,3,2,-0.4,-0.04642857142857143,8.0,4,0.4,0.4,0.4,2,2,2,0.0,0.0035714285714285657,7.0,3,0.5333333333333333,0.5,0.6,3,3,3,0.0,0.01785714285714285,7.0,3, 2D
3,F, i+,0.8666666666666667,0.9,0.8,4,4,4,0.0,0.0035714285714285796,5.0,3,0.8666666666666667,0.9,0.8,4,4,4,0.0,0.0035714285714285657,4.0,2,0.8,0.8,0.6,4,4,3,-0.20000000000000007,-0.007142857142857152,10.0,4,0.4666666666666667,0.5,0.6,2,3,3,0.19999999999999996,0.014285714285714289,9.0,4, I1D
4,F,i-,0.6666666666666666,0.9,1.0,3,4,4,0.8,0.08571428571428574,4.0,2,0.5333333333333333,0.6,0.8,3,3,4,0.4,0.028571428571428574,8.0,4,0.6,0.8,0.8,3,4,4,0.6000000000000001,0.057142857142857155,8.0,4,0.5333333333333333,0.6,0.8,3,3,4,0.4,0.02857142857142859,8.0,4, R
5,F,i-,0.7333333333333333,0.8,0.8,3,4,4,0.20000000000000007,0.010714285714285732,9.0,4,0.5333333333333333,0.5,0.8,3,3,4,0.20000000000000007,0.028571428571428595,2.0,1,0.6666666666666666,0.7,0.4,3,3,2,-0.19999999999999996,-0.01428571428571429,9.0,4,0.6666666666666666,0.8,0.6,3,4,3,0.19999999999999996,0.02857142857142857,8.0,4, R
6,F,i-,0.6,0.8,1.0,3,4,4,0.8,0.06428571428571432,6.0,3,1.0,1.0,1.0,4,4,4,0.0,1.3877787807814457e-17,1.0,1,0.5333333333333333,0.6,0.6,3,3,3,0.19999999999999996,0.03214285714285717,10.0,4,0.5333333333333333,0.6,0.2,3,3,1,-0.2,-0.007142857142857152,10.0,4, 2D
7,F, i+,0.8666666666666667,1.0,1.0,4,4,4,0.4,0.039285714285714306,1.0,1,0.6666666666666666,0.8,0.8,3,4,4,0.4,0.04642857142857143,1.0,1,0.6666666666666666,0.7,0.8,3,3,4,0.20000000000000007,0.02857142857142859,10.0,4,0.4666666666666667,0.6,0.6,2,3,3,0.39999999999999997,0.021428571428571436,7.0,3, I1D
8,F, i+,0.6,0.6,0.6,3,3,3,0.0,1.3877787807814457e-17,9.0,4,0.7333333333333333,0.9,0.8,3,4,4,0.4,0.025,6.0,3,0.5333333333333333,0.5,0.6,3,3,3,0.0,0.010714285714285725,9.0,4,0.6,0.5,0.4,3,3,2,-0.4,-0.02857142857142857,9.0,4, 2D
9,F, i+,0.7333333333333333,0.7,0.6,3,3,3,-0.20000000000000007,-0.007142857142857152,9.0,4,0.6666666666666666,0.6,0.6,3,3,3,-0.20000000000000007,-0.0035714285714285796,3.0,2,0.6,0.5,0.4,3,3,2,-0.4,-0.028571428571428567,1.0,1,0.3333333333333333,0.4,0.2,2,2,1,0.0,0.017857142857142856,1.0,1,1D
10,F,i-,0.8666666666666667,1.0,1.0,4,4,4,0.4,0.03571428571428574,1.0,1,0.4666666666666667,0.2,0.2,2,1,1,-0.8,-0.07857142857142858,6.0,3,0.6666666666666666,0.6,0.8,3,3,4,0.0,0.010714285714285732,6.0,3,0.6,0.6,0.4,3,3,2,-0.19999999999999996,-0.028571428571428567,9.0,4, R
11,F,i-,0.7333333333333333,0.7,0.8,3,3,4,0.0,0.007142857142857152,10.0,4,0.6,0.7,1.0,3,3,4,0.6,0.057142857142857155,10.0,4,0.4,0.4,0.2,2,2,1,-0.2,-0.021428571428571443,10.0,4,0.4666666666666667,0.6,0.6,2,3,3,0.39999999999999997,0.032142857142857154,10.0,4,1D
12,F,i-,0.7333333333333333,0.9,1.0,3,4,4,0.6,0.06428571428571431,3.0,2,0.8666666666666667,0.9,0.8,4,4,4,0.0,0.010714285714285711,2.0,1,0.6,0.5,0.6,3,3,3,-0.20000000000000007,-0.03214285714285716,7.0,3,0.5333333333333333,0.4,0.6,3,2,3,-0.20000000000000007,-0.01785714285714287,9.0,4,1D
13,F, i+,0.7333333333333333,0.8,1.0,3,4,4,0.4,0.04285714285714286,4.0,2,0.3333333333333333,0.2,0.0,2,1,1,-0.6,-0.05357142857142859,9.0,4,0.7333333333333333,0.7,0.8,3,3,4,0.0,-0.010714285714285704,4.0,2,0.5333333333333333,0.5,0.4,3,3,2,-0.19999999999999996,-0.021428571428571422,9.0,4, I1D
14,F, i+,0.5333333333333333,0.6,0.6,3,3,3,0.19999999999999996,1.0408340855860843e-17,10.0,4,0.8,0.7,0.6,4,3,3,-0.4,-0.028571428571428567,7.0,3,0.2,0.2,0.2,1,1,1,0.0,-0.003571428571428578,10.0,4,0.4,0.3,0.4,2,2,2,-0.19999999999999996,-0.007142857142857131,9.0,4, 2D
