,sid,grp,tid,pc1
273,0,0,3,0.6005936464949926
412,0,0,4,0.5013941188363991
134,0,0,2,0.7201172091797092
413,1,0,4,0.23780381335509887
274,1,0,3,0.39224589503614943
135,1,0,2,0.892094460655182
0,1,0,1,0.9510759586041453
136,3,0,2,1.0
414,3,0,4,0.36021713446811043
1,3,0,1,0.9078610022409053
275,3,0,3,0.8423369608450508
276,6,0,3,0.5755127363221724
137,6,0,2,0.9098820759384497
415,6,0,4,0.6093473233815137
2,6,0,1,0.9351416489795525
138,11,0,2,1.0
416,11,0,4,0.3055848186945643
3,11,0,1,0.8711644983924949
277,11,0,3,0.7196030258502616
139,15,0,2,0.9321490017918589
278,15,0,3,0.7347272397768697
417,15,0,4,0.48214702381718133
4,15,0,1,0.6069196676339536
279,19,0,3,0.6622792691484641
140,19,0,2,0.6959991041443861
418,19,0,4,0.23202380952380955
5,19,0,1,0.8486475117320721
6,20,0,1,0.8423558757884105
280,20,0,3,0.4329050264627462
141,20,0,2,1.0
419,20,0,4,0.3871228519808813
281,32,0,3,0.5851723013021438
142,32,0,2,0.585971295900223
420,32,0,4,0.38739860613653854
7,32,0,1,0.9574705387205387
143,33,0,2,0.9825908326190195
8,33,0,1,0.90253328849401
421,33,0,4,0.5889214614986724
282,33,0,3,0.5448992233488532
422,35,0,4,0.472868524538682
9,35,0,1,0.8867709648273386
283,35,0,3,0.7273550732526772
144,35,0,2,0.8440950062231931
284,45,0,3,0.4737653603751059
10,45,0,1,0.8396905086119517
145,45,0,2,0.7246424701351206
423,45,0,4,0.46392473310629184
146,48,0,2,1.0
285,48,0,3,0.7187744399197219
424,50,0,4,0.6182512849932558
147,50,0,2,0.8460566791130529
286,50,0,3,0.4175431381528837
11,50,0,1,0.93960543856616
425,53,0,4,0.4488055471995437
12,53,0,1,0.7984376314940053
287,53,0,3,0.3372719164863195
148,53,0,2,0.5702559834969176
426,55,0,4,0.5967166189548475
288,55,0,3,0.7681249648498403
149,55,0,2,0.8056903688749294
13,55,0,1,0.989271259175607
289,56,0,3,0.9506279132216071
427,56,0,4,0.5523529282341774
14,56,0,1,0.7930004529085427
150,56,0,2,1.0
15,60,0,1,0.8555184395748134
428,60,0,4,0.6677704252717714
151,60,0,2,0.9419445690009427
290,60,0,3,0.7535263347763349
291,61,0,3,0.7179377363068572
152,61,0,2,0.6738323499058186
429,61,0,4,0.46344804791385763
16,61,0,1,0.5659958781649992
292,63,0,3,0.8384376314940053
17,63,0,1,0.8571184041548225
153,63,0,2,0.9778464309700488
430,63,0,4,0.38020105467586957
293,64,0,3,0.7798520923520923
431,64,0,4,0.6895017613920157
18,64,0,1,0.7262134457980064
154,64,0,2,0.4223699874122676
155,65,0,2,0.9047896987504201
294,65,0,3,0.7526047856826023
19,65,0,1,0.7542292937182021
432,65,0,4,0.49736074930737734
433,66,0,4,0.4038943425040881
20,66,0,1,1.0
295,66,0,3,0.6124339168108182
156,66,0,2,1.0
296,68,0,3,0.6026100908349663
157,68,0,2,0.6791852992480335
434,68,0,4,0.6065174018754311
21,80,0,1,0.9774241659523528
158,80,0,2,0.9387354360196869
297,80,0,3,0.6670039280009263
435,80,0,4,0.4528314452780734
436,84,0,4,0.31383764443629836
159,84,0,2,1.0
22,84,0,1,0.8071031746031746
298,84,0,3,0.6258916794651482
299,89,0,3,0.8519086015448784
437,89,0,4,0.37556600896000547
23,89,0,1,0.7398994914165867
160,89,0,2,0.5975149772962265
300,91,0,3,0.837271027303562
438,91,0,4,0.4672378585429467
161,91,0,2,0.8103614278110576
24,91,0,1,0.9774241659523528
301,92,0,3,0.5484810923824385
162,92,0,2,0.7572437488283092
25,92,0,1,1.0
439,92,0,4,0.39581206930698115
26,96,0,1,0.9172476250600627
440,96,0,4,0.6456479969335939
302,96,0,3,0.6861165552937664
163,96,0,2,0.4390410897383976
27,101,0,1,0.9462765615608124
164,101,0,2,0.9844223946888697
441,101,0,4,0.5573238025939601
303,101,0,3,0.5900651930860303
165,103,0,2,0.9560759586041453
442,103,0,4,0.3038674829336022
28,103,0,1,0.9613327877653225
304,103,0,3,0.824053671798954
29,105,0,1,0.9357803410899386
166,105,0,2,0.6788940477628593
443,105,0,4,0.5985581038201714
305,105,0,3,0.8308338862271424
167,110,0,2,0.6292510146872915
444,110,0,4,0.5921227321234724
30,110,0,1,0.9142269281876496
306,110,0,3,0.4900698481996907
445,113,0,4,0.569674992813531
31,113,0,1,0.8080566791130528
168,113,0,2,0.7976000435214864
307,113,0,3,0.7121521926018224
169,116,0,2,0.9421975101774133
446,116,0,4,0.5160880979820945
308,116,0,3,0.6046884937619627
170,117,0,2,0.8395533351140565
447,117,0,4,0.5015440125973845
32,117,0,1,0.989271259175607
309,117,0,3,0.722829061846157
33,118,0,1,0.8579381719744488
310,118,0,3,0.5213341044964817
448,118,0,4,0.45607765751993784
171,118,0,2,0.9032154092717829
449,119,0,4,0.5821476061053259
311,119,0,3,0.7480522089253681
34,119,0,1,0.6519091846219319
172,119,0,2,0.829038780018683
312,121,0,3,0.5347750738485427
450,121,0,4,0.5666581908676268
173,121,0,2,0.7139125740300192
35,121,0,1,0.8366329320654667
451,123,0,4,0.6270058601066004
36,123,0,1,0.7547233457797197
174,123,0,2,0.6733187084314558
313,123,0,3,0.6768947295118248
37,124,0,1,0.96452040304859
175,124,0,2,0.8873616728898597
