sid,condition,interested-Bear,complex-Bear,time-Bear,progress-Bear,rule-Bear,future-learn-0-Bear,future-learn-1-Bear,interested-Bunny,complex-Bunny,time-Bunny,progress-Bunny,rule-Bunny,future-learn-0-Bunny,future-learn-1-Bunny,interested-GreenMonster,complex-GreenMonster,time-GreenMonster,progress-GreenMonster,rule-GreenMonster,future-learn-0-GreenMonster,future-learn-1-GreenMonster,interested-Squid,complex-Squid,time-Squid,progress-Squid,rule-Squid,future-learn-0-Squid,future-learn-1-Squid
0,0,3,3,3,6,10,6,2,8,7,8,9,8,8,3,2,1,1,1,10,3,1,4,9,4,4,2,6,6
1,0,10,1,10,10,6,10,1,5,8,4,6,8,10,10,10,1,9,10,6,10,1,1,10,1,1,10,10,10
2,0,5,1,7,10,10,2,1,5,9,4,3,3,8,8,5,7,6,5,5,7,7,4,7,1,1,5,7,10
3,1,10,10,10,1,5,9,10,3,2,1,10,10,5,2,7,5,7,10,10,10,3,3,1,1,10,10,4,2
4,0,7,8,6,7,5,8,6,3,10,2,1,2,8,3,7,6,7,7,6,8,6,9,1,10,1,10,4,1
5,0,10,9,4,1,2,2,3,6,1,10,10,10,9,8,6,3,7,9,8,9,9,6,7,4,3,5,8,7
6,0,5,8,8,7,3,10,3,10,4,4,9,10,6,1,1,10,7,1,1,10,1,9,1,1,10,10,1,1
7,1,10,10,10,8,1,10,5,2,1,1,10,10,1,1,10,10,8,2,1,7,5,2,1,1,10,10,1,1
8,1,8,9,8,6,4,9,4,10,9,4,1,2,9,2,8,10,6,3,7,9,5,4,3,9,10,10,6,10
9,1,1,1,2,10,10,9,10,10,10,10,1,1,1,3,10,10,10,1,1,1,3,1,1,2,10,10,3,10
10,0,10,1,10,10,10,1,10,1,10,1,1,10,6,10,1,10,1,1,10,6,10,1,10,1,1,1,9,1
11,0,7,10,9,5,6,10,10,10,1,7,10,10,10,1,9,8,9,9,10,10,8,7,10,9,5,3,10,9
12,0,6,3,2,9,9,3,2,9,7,3,9,9,7,7,5,10,10,4,3,9,5,8,2,2,10,10,2,1
13,1,8,6,8,8,9,4,10,9,2,6,10,10,4,1,5,10,10,2,2,9,8,5,8,9,7,3,9,3
14,1,4,5,6,6,5,7,7,1,1,10,10,10,10,4,2,1,6,9,10,10,5,10,8,4,2,5,9,7
15,1,10,10,10,10,10,10,10,1,5,1,1,5,10,10,1,5,1,1,5,10,10,1,5,1,1,5,10,10
