sid,condition,interested+AC0-Bear,complex+AC0-Bear,time+AC0-Bear,progress+AC0-Bear,rule+AC0-Bear,future+AC0-learn+AC0-0+AC0-Bear,future+AC0-learn+AC0-1+AC0-Bear,interested+AC0-Bunny,complex+AC0-Bunny,time+AC0-Bunny,progress+AC0-Bunny,rule+AC0-Bunny,future+AC0-learn+AC0-0+AC0-Bunny,future+AC0-learn+AC0-1+AC0-Bunny,interested+AC0-GreenMonster,complex+AC0-GreenMonster,time+AC0-GreenMonster,progress+AC0-GreenMonster,rule+AC0-GreenMonster,future+AC0-learn+AC0-0+AC0-GreenMonster,future+AC0-learn+AC0-1+AC0-GreenMonster,interested+AC0-Squid,complex+AC0-Squid,time+AC0-Squid,progress+AC0-Squid,rule+AC0-Squid,future+AC0-learn+AC0-0+AC0-Squid,future+AC0-learn+AC0-1+AC0-Squid
0,1,9,10,8,3,5,6,8,8,4,7,10,10,9,3,8,9,7,8,7,6,8,7,3,9,10,10,4,3
1,1,5,1,1,9,10,10,1,10,10,9,6,10,10,5,10,10,10,2,1,10,5,1,1,2,10,10,10,1
2,0,7,7,7,7,6,7,8,8,9,9,4,4,9,8,8,7,8,10,10,7,4,9,3,5,9,9,9,3
3,1,7,4,4,8,7,8,3,4,2,1,10,10,3,1,5,2,2,10,9,3,1,10,10,10,3,3,10,5
4,0,9,1,8,8,8,1,7,4,2,5,9,10,1,2,9,5,8,6,7,1,7,8,9,6,4,2,1,9
5,0,7,8,9,4,7,8,7,7,2,9,9,7,8,7,7,2,9,8,7,8,7,7,8,9,4,7,8,7
6,1,6,10,9,2,2,10,10,10,2,3,10,10,10,1,3,8,8,7,9,10,1,4,5,6,7,10,10,1
7,0,10,10,2,1,3,8,5,10,10,3,1,3,3,5,1,1,10,10,10,8,1,1,1,10,10,10,3,1
8,1,9,4,8,8,9,8,9,9,7,7,7,8,7,9,9,4,8,8,9,7,9,9,10,4,5,3,3,7
9,1,9,9,9,2,2,6,10,6,1,4,9,10,8,2,2,1,2,10,10,2,2,4,3,5,8,8,10,3
10,1,5,2,3,10,10,3,1,6,1,6,10,10,9,1,10,10,10,1,2,8,8,8,3,8,10,10,5,1
11,0,1,1,1,10,10,6,1,10,10,10,1,1,10,10,9,10,6,1,5,9,10,6,1,1,10,10,4,1
12,0,6,10,6,5,8,7,5,7,1,4,10,10,10,2,2,10,10,3,4,2,9,10,1,3,10,10,10,1
13,0,6,6,8,9,10,10,8,6,6,7,10,9,10,9,6,6,9,7,8,10,10,6,6,9,9,9,10,10
14,0,8,10,9,3,3,7,9,5,1,2,9,10,3,5,9,8,8,8,7,9,9,5,2,3,9,10,4,5
15,1,3,1,1,10,10,3,2,3,4,4,8,8,5,2,8,8,9,5,5,10,6,9,10,9,3,2,10,6
16,0,10,9,10,10,10,9,10,8,10,10,10,10,9,10,9,10,10,10,10,9,10,9,7,10,10,10,9,10
17,1,9,9,9,5,5,8,9,9,10,10,4,3,8,10,8,2,1,10,10,2,1,8,1,1,10,10,3,1
18,1,10,1,4,7,10,8,1,10,5,6,7,6,8,5,10,10,10,2,3,8,10,10,1,1,10,10,8,1
19,0,10,7,5,10,9,10,3,10,1,1,10,10,10,1,10,2,4,10,8,10,3,1,10,10,1,1,10,10
20,1,4,2,3,10,10,2,1,10,10,8,3,2,10,4,8,8,8,4,3,8,5,4,3,3,10,10,6,1
21,1,4,3,8,10,10,5,1,4,3,7,10,10,6,1,7,7,4,2,3,8,10,7,9,4,3,3,10,10
22,1,5,7,8,4,6,7,8,7,9,7,3,9,7,6,4,2,8,7,7,6,9,9,2,3,9,8,5,5
23,1,10,6,10,10,10,8,1,9,3,9,10,10,8,1,3,9,9,1,3,8,3,6,9,7,1,3,8,3
24,1,6,5,7,6,8,8,5,9,4,5,7,8,8,5,9,2,4,9,9,4,2,8,9,9,3,3,8,8
25,0,10,1,10,10,10,10,10,1,10,4,3,5,5,1,1,10,4,3,5,5,1,1,10,4,3,5,5,1
26,0,9,10,10,3,5,9,7,9,1,1,10,10,9,1,9,5,4,10,10,9,7,9,8,7,5,7,9,3
27,1,10,10,10,1,2,9,8,8,3,1,10,10,9,2,8,1,1,10,10,7,1,9,9,7,4,3,10,10
28,1,8,10,4,6,8,1,7,10,6,8,8,1,1,4,8,2,6,10,9,1,1,6,3,10,3,3,1,6
29,0,10,10,6,3,5,4,6,3,3,6,8,5,4,6,3,3,6,8,5,4,6,3,3,6,8,5,4,6
30,1,10,1,9,9,10,10,4,10,1,9,10,10,10,3,6,10,3,4,9,10,9,5,10,3,2,3,10,8
31,0,10,10,10,1,2,6,2,6,10,1,2,3,1,5,8,3,1,10,9,1,3,6,8,1,2,5,3,7
32,1,4,10,6,2,2,4,4,10,1,10,10,10,1,1,8,10,3,1,1,1,5,9,7,7,5,4,1,1
33,0,10,5,10,6,10,10,10,10,1,7,10,10,10,2,6,10,1,1,10,10,10,5,10,1,1,10,10,10
34,1,8,3,5,9,10,10,1,9,10,9,1,1,10,8,1,1,1,10,10,3,1,2,10,4,1,3,10,8
35,1,9,2,2,9,9,1,4,2,8,8,2,4,2,8,3,10,10,2,2,3,10,10,1,1,10,10,2,2
36,0,3,2,3,3,10,7,2,2,8,2,2,9,9,2,7,4,7,4,9,8,9,9,9,9,8,8,9,10
37,1,3,1,1,10,10,9,1,10,10,10,1,1,7,2,8,7,8,2,2,3,3,9,8,6,3,3,2,3
38,1,8,6,5,9,3,10,9,10,10,6,8,9,8,1,4,1,2,7,10,2,1,4,5,2,7,8,3,6
39,0,1,1,1,6,10,7,1,10,8,10,10,10,7,1,7,8,7,6,1,7,1,1,10,7,6,1,7,1
40,0,3,10,10,3,1,9,6,10,1,5,10,10,6,1,10,1,1,10,10,5,1,8,8,8,5,10,8,6
41,0,7,6,6,8,8,9,8,7,2,2,10,10,9,1,7,2,2,10,10,9,1,7,10,10,1,2,9,4
42,1,6,2,2,10,10,6,6,10,10,10,1,10,7,10,6,2,3,10,10,6,6,6,3,7,10,10,10,6
43,0,8,7,6,4,7,10,7,8,10,8,1,4,10,5,8,3,2,9,10,7,1,8,1,1,10,10,5,1
44,1,8,8,6,7,7,7,6,9,9,9,3,3,4,7,6,5,4,8,9,7,5,6,4,3,9,9,8,4
45,0,6,2,3,10,10,4,1,8,9,8,5,8,8,7,9,10,10,3,3,10,3,6,3,4,8,9,6,2
46,1,10,10,10,8,8,10,7,3,1,1,10,10,4,1,10,10,10,1,1,10,5,1,1,1,10,10,1,1
47,0,1,1,2,10,10,3,2,1,2,4,10,10,8,2,9,10,7,2,5,8,10,8,9,10,9,9,8,8
