# grp,sid,tsk1,tsk2,tsk3,tsk4
0.0,0.0,0.0,110.0,88.0,6.0
0.0,1.0,7.0,29.0,151.0,nan
0.0,2.0,39.0,nan,nan,nan
0.0,3.0,0.0,0.0,1.0,nan
0.0,4.0,11.0,nan,160.0,nan
0.0,5.0,4.0,nan,nan,82.0
0.0,6.0,46.0,0.0,111.0,nan
0.0,7.0,0.0,nan,26.0,nan
0.0,8.0,nan,4.0,31.0,nan
0.0,9.0,120.0,84.0,nan,nan
0.0,10.0,79.0,nan,nan,nan
0.0,11.0,61.0,0.0,50.0,nan
0.0,12.0,59.0,nan,4.0,nan
0.0,13.0,62.0,1.0,nan,nan
0.0,14.0,35.0,nan,nan,nan
0.0,15.0,nan,nan,167.0,nan
0.0,16.0,44.0,0.0,nan,nan
0.0,17.0,99.0,0.0,nan,nan
0.0,18.0,89.0,1.0,nan,nan
0.0,19.0,0.0,49.0,16.0,nan
0.0,20.0,67.0,1.0,nan,nan
0.0,21.0,nan,nan,nan,nan
0.0,22.0,0.0,nan,nan,nan
0.0,23.0,nan,64.0,nan,nan
0.0,24.0,31.0,0.0,nan,nan
0.0,25.0,157.0,0.0,nan,nan
0.0,26.0,0.0,nan,nan,nan
0.0,27.0,6.0,nan,212.0,nan
0.0,28.0,18.0,9.0,244.0,nan
0.0,29.0,nan,0.0,233.0,nan
0.0,30.0,64.0,1.0,194.0,nan
0.0,31.0,0.0,nan,30.0,nan
0.0,32.0,32.0,69.0,117.0,nan
0.0,33.0,112.0,143.0,26.0,103.0
0.0,34.0,6.0,0.0,nan,nan
0.0,35.0,11.0,0.0,52.0,nan
0.0,36.0,0.0,nan,nan,nan
0.0,37.0,6.0,113.0,nan,nan
0.0,38.0,0.0,109.0,nan,nan
0.0,39.0,nan,6.0,nan,42.0
0.0,40.0,54.0,nan,nan,nan
0.0,41.0,nan,nan,134.0,nan
0.0,42.0,54.0,nan,nan,nan
0.0,43.0,0.0,79.0,189.0,nan
0.0,44.0,nan,0.0,152.0,nan
0.0,45.0,30.0,0.0,nan,nan
0.0,46.0,147.0,173.0,nan,nan
0.0,47.0,1.0,nan,98.0,nan
0.0,48.0,0.0,0.0,11.0,nan
0.0,49.0,9.0,66.0,nan,nan
0.0,50.0,0.0,124.0,195.0,nan
0.0,51.0,16.0,nan,nan,nan
0.0,52.0,0.0,159.0,nan,nan
0.0,53.0,11.0,67.0,242.0,nan
0.0,54.0,nan,nan,177.0,nan
0.0,55.0,0.0,6.0,148.0,nan
0.0,56.0,1.0,130.0,138.0,nan
0.0,57.0,0.0,nan,nan,nan
0.0,58.0,19.0,82.0,222.0,nan
0.0,59.0,0.0,80.0,nan,nan
0.0,60.0,0.0,44.0,nan,nan
0.0,61.0,96.0,21.0,0.0,47.0
0.0,62.0,199.0,46.0,nan,76.0
0.0,63.0,75.0,85.0,0.0,nan
0.0,64.0,6.0,nan,23.0,nan
0.0,65.0,52.0,201.0,181.0,nan
0.0,66.0,0.0,128.0,146.0,nan
0.0,67.0,142.0,52.0,nan,nan
0.0,68.0,0.0,14.0,136.0,nan
0.0,69.0,43.0,nan,nan,nan
0.0,70.0,76.0,61.0,nan,nan
0.0,71.0,75.0,6.0,nan,nan
0.0,72.0,nan,226.0,150.0,nan
0.0,73.0,91.0,nan,nan,nan
0.0,74.0,111.0,nan,nan,nan
0.0,75.0,nan,168.0,nan,nan
0.0,76.0,nan,93.0,nan,nan
0.0,77.0,nan,57.0,nan,nan
0.0,78.0,nan,nan,nan,nan
0.0,79.0,1.0,113.0,99.0,nan
0.0,80.0,16.0,1.0,61.0,nan
0.0,81.0,nan,0.0,119.0,nan
0.0,82.0,233.0,nan,nan,nan
0.0,83.0,11.0,nan,nan,nan
0.0,84.0,43.0,53.0,0.0,nan
0.0,85.0,11.0,nan,nan,nan
0.0,86.0,0.0,nan,nan,nan
0.0,87.0,0.0,201.0,nan,nan
0.0,88.0,0.0,114.0,nan,nan
0.0,89.0,11.0,147.0,81.0,nan
0.0,90.0,169.0,nan,nan,nan
0.0,91.0,0.0,114.0,77.0,nan
0.0,92.0,25.0,84.0,nan,nan
0.0,93.0,0.0,110.0,nan,0.0
0.0,94.0,37.0,0.0,nan,nan
0.0,95.0,nan,nan,nan,nan
0.0,96.0,0.0,181.0,1.0,117.0
0.0,97.0,9.0,73.0,nan,nan
0.0,98.0,0.0,74.0,92.0,nan
0.0,99.0,0.0,34.0,77.0,nan
0.0,100.0,49.0,4.0,181.0,nan
0.0,101.0,9.0,1.0,67.0,0.0
0.0,102.0,16.0,nan,113.0,nan
0.0,103.0,0.0,0.0,136.0,nan
0.0,104.0,229.0,90.0,nan,nan
0.0,105.0,6.0,36.0,83.0,nan
0.0,106.0,98.0,30.0,nan,nan
0.0,107.0,198.0,nan,nan,nan
0.0,108.0,177.0,9.0,nan,nan
